X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.422984136,0.599647469,0.384306202,0.195214716,0.320472431,0.485020745,0.512756807,0.443223228,0.235152697,0.10727593,0.104788189,0.092815217,0.060321239,0.027231355,0.009694135,0.009577986
0.393149562,0.640912847,0.563015468,0.246832513,0.093436338,0.306964392,0.517015183,0.509789671,0.384302733,0.167976634,0.083591637,0.082977537,0.054329668,0.027572126,0.013430249,0.009301964
0.282814742,0.636301181,1.02495404,0.480510663,0.130469328,0.102667088,0.237406308,0.441596335,0.44863149,0.240653388,0.102295245,0.043786989,0.029147296,0.028898483,0.020524399,0.009923029
0.158241436,0.273498519,0.55776874,0.840758034,0.300980426,0.126549515,0.069500485,0.255194792,0.370280205,0.370277103,0.211306756,0.070528882,0.035432228,0.020706425,0.011012486,0.007290756
0.321552766,0.166162085,0.197604542,0.559106655,0.794088626,0.427021196,0.10960622,0.055164872,0.172241535,0.357039902,0.244221361,0.132172344,0.036808834,0.011418965,0.009041046,0.007256897
0.653750604,0.277388293,0.107766442,0.205187075,0.43621636,0.680070324,0.277461175,0.06979461,0.040490606,0.123108179,0.230253817,0.144536459,0.072824068,0.023693501,0.004298841,0.007344293
0.641938221,0.777682609,0.430783949,0.095443647,0.143043267,0.338196298,0.510532969,0.254763467,0.098811068,0.041353297,0.074210634,0.100314072,0.089988954,0.023327054,0.012632253,0.005333317
0.545829184,0.847340178,0.764063582,0.32809669,0.067162944,0.081208349,0.20379314,0.459823961,0.178757278,0.057111181,0.036539439,0.040739538,0.070294433,0.042238985,0.019413706,0.005548573
0.339831299,0.609794384,0.723552455,0.521960899,0.166561041,0.065256867,0.113424057,0.198011203,0.335297964,0.150369358,0.051214592,0.013780331,0.036300175,0.040235633,0.017568736,0.010833839
0.196629277,0.389619173,0.545411638,0.643850002,0.380066994,0.143740657,0.052418879,0.111135999,0.163451086,0.321979017,0.147244974,0.03497448,0.019583443,0.013983345,0.016037239,0.019822446
0.300638364,0.255037988,0.418433901,0.46337436,0.440259402,0.321647477,0.152887879,0.064394112,0.103557671,0.178471203,0.290862741,0.138043281,0.031077964,0.011384736,0.014527202,0.021334303
0.467785051,0.443576548,0.296620049,0.372719302,0.34990463,0.452784818,0.361105606,0.132130042,0.062548328,0.132294346,0.206394798,0.270717481,0.124712545,0.043375175,0.009767649,0.01448725
0.489784369,0.433477094,0.285541608,0.265877163,0.200123147,0.291376042,0.365401902,0.305626047,0.121500545,0.062902614,0.095782935,0.167535683,0.203772394,0.09915695,0.019337984,0.004173235
0.286495709,0.394114559,0.360444914,0.17929553,0.145466298,0.180984925,0.321548948,0.38572254,0.280134685,0.077450834,0.069661491,0.090469125,0.120911194,0.178521365,0.05572597,0.009519175
0.16049268,0.471316896,0.410892655,0.316678694,0.072267217,0.171509845,0.158529372,0.359588429,0.328530447,0.260687722,0.145163929,0.063672507,0.088495807,0.102129853,0.141023248,0.068914772
0.368396684,0.499126386,0.860644834,0.658719454,0.17894753,0.141767505,0.198691957,0.522839102,0.614394729,0.551459535,0.477044771,0.160482796,0.068721077,0.134343491,0.140031672,0.135183071
