X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0,0,0,0,0,0,0,0,0,0,0,0,8.20605E-92,1.20585E-05,3.1644E-125
0,0.000176703,2.06298E-72,1.08563E-59,8.3739E-07,0.002868631,0.007367181,0.001651808,0.006358772,0.001811969,0.000502462,0.000365642,4.72905E-57,1.34956E-05,7.64591E-79,2.38392E-65
0,0.000534222,0.032328234,0.008116464,0.010388487,0.002991708,0.024286709,0.006961157,0.024179047,0.014248731,0.005821204,1.19052E-08,1.88716E-17,2.7978E-53,4.95801E-06,3.7772E-102
0,0.00262952,0.0144664,0.287474499,0.276129054,0.158059212,0.146360227,0.136832404,0.150848434,0.120643277,0.073096083,0.028802065,0.008811238,8.347E-06,2.85973E-06,1.88926E-31
0,0.002622999,0.022694663,0.186108606,0.431814813,0.411904211,0.341475112,0.378396289,0.282721093,0.22970059,0.180953831,0.069035296,0.029087797,9.86113E-06,1.32609E-05,3.74318E-06
0,0.002994035,0.029050039,0.162817079,0.409019128,0.685555564,0.487271195,0.478470911,0.437425301,0.311108699,0.263851488,0.101222459,0.03861664,1.60675E-05,1.01183E-05,3.01443E-06
0,0.004721351,0.032694295,0.087397714,0.281510739,0.46197584,0.600511409,0.529662718,0.46972458,0.389034778,0.242112478,0.117301337,0.035916309,1.63796E-05,4.10101E-06,3.49479E-06
0,0.003258266,0.020220986,0.175322532,0.234861364,0.436405387,0.46417682,0.645094311,0.62104822,0.435980295,0.327524217,0.108216207,0.02560015,1.22989E-05,9.13513E-06,6.02097E-06
0,0.001817027,0.022612094,0.108357043,0.273560068,0.427119562,0.500402171,0.538587117,0.652970005,0.532234776,0.394681159,0.113701183,0.037146809,1.43626E-05,1.02722E-05,1.29504E-05
0,0.001050291,0.030605027,0.137399405,0.189136874,0.325712566,0.414811108,0.458667655,0.469574338,0.464911008,0.308973033,0.130548825,0.03001459,1.6281E-05,1.08244E-05,6.09172E-06
0,0.000149023,0.033502738,0.104049482,0.159388954,0.332237765,0.384680714,0.402880343,0.539862906,0.52825513,0.41406487,0.166803064,0.036316776,1.1808E-05,1.18227E-05,1.01613E-05
0,0.001450863,0.044153455,0.059804673,0.091856855,0.168167947,0.232249593,0.220242537,0.278624987,0.222966465,0.21327783,0.110816418,0.029302306,1.34978E-05,6.5874E-06,6.65717E-06
0,0.00023438,0.020127667,0.01095063,0.049301829,0.087463266,0.095701646,0.113750853,0.121713901,0.120563818,0.095041977,0.060918187,0.013572611,2.0302E-05,8.26102E-06,1.48398E-05
7.603E-06,3.36327E-06,7.64855E-06,2.27622E-05,3.14933E-05,7.89308E-05,7.24213E-05,2.91748E-05,6.61874E-05,5.95693E-05,7.70713E-05,5.30688E-05,4.6603E-05,1.41633E-05,2.49066E-05,1.19109E-05
5.78864E-55,7.88785E-42,2.5483E-06,2.60648E-05,1.68036E-05,2.12447E-05,3.57268E-05,4.02377E-05,3.56402E-05,3.09769E-05,2.13053E-05,4.49709E-05,2.61368E-05,1.68266E-05,1.66514E-05,2.60823E-05
2.3572E-141,9.06872E-97,1.18637E-89,9.39934E-22,4.66E-05,4.69664E-05,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.06804E-05,7.26342E-75,1.10074E-65,1.02832E-05,5.16903E-49,8.28041E-43
