X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.321886748,0.043254741,0.007888453,0.008100004,0.005351952,0.02183954,0.040192187,0.029949844,0.014070895,0.016663826,0.009484101,0.007414448,0.00128207,0.000779171,8.23608E-66,6.3793E-120
0.054124378,5.369505017,0.273097823,0.031285446,0.031451899,0.094279109,0.116976727,0.098110319,0.086584682,0.056752779,0.04782928,0.013924016,0.004762785,0.001445525,0.000347291,8.09952E-39
0.000456795,1.060248528,5.63081676,0.180585127,0.018632146,0.067704675,0.065636234,0.093036383,0.088595079,0.064045282,0.045004849,0.021379349,0.004861969,0.000732302,4.93392E-25,0.000182313
0.002597582,0.047042224,1.809682493,6.418704613,0.078641517,0.078851328,0.083750618,0.104484466,0.080076501,0.086771687,0.047915985,0.02674718,0.005358582,0.001080538,6.20641E-33,1.70867E-70
0.007193699,0.025148191,0.009233764,0.80429219,0.411250331,0.05106616,0.032970977,0.036926268,0.022205582,0.025846526,0.013850027,0.009453096,0.000674982,0.001260872,0.000177114,1.22E-47
0.007047434,0.13139265,0.037991412,0.20164183,0.282856285,0.182823726,0.030629126,0.036820839,0.04109513,0.034048652,0.008965897,0.01392223,0.004278025,0.002459102,0.000463028,0.001286631
0.01415879,0.417717375,0.254897481,0.166650037,0.0496771,0.095869404,0.083630279,0.052840171,0.054215619,0.026774562,0.022123087,0.00322717,0.005395274,0.000453655,1.65407E-48,3.1133E-55
0.024104384,0.218837335,0.148312948,0.07711903,0.017821163,0.05601186,0.075234649,0.051534831,0.054379346,0.024810132,0.003740492,0.008450501,0.00054665,0.002098979,1.8439E-123,9.6989E-67
0.007814731,0.114678994,0.084404163,0.347179122,0.008084629,0.02635311,0.024982634,0.031141164,0.063680655,0.021718958,0.024722796,0.006768047,0.005359147,0.000479167,4.81097E-68,2.40298E-92
0.065546328,0.238036532,0.143241942,0.520421208,0.00555194,0.031033535,0.057938492,0.046363404,0.041385908,0.023860845,0.030013455,0.013606432,0.003187898,0.00168724,6.208E-134,3.27386E-72
0.017288147,0.392027941,0.456445135,0.496167729,0.005619958,0.015912871,0.043055578,0.039498201,0.047208564,0.061995783,0.03211425,0.016911608,0.004587876,9.00468E-24,1.2379E-117,5.64442E-78
0.061469727,0.343461305,0.278771798,0.320373629,0.006218282,0.058100331,0.022024238,0.034782045,0.042415941,0.029762704,0.026609272,0.029590422,0.009007034,1.14706E-31,0.00078194,0.000762651
0.03637135,0.059566507,0.028977187,0.136474153,0.012244735,0.001694318,0.015416684,0.041430675,0.008967302,0.013975756,0.011235913,0.005852811,0.020243417,0.011111139,4.4224E-67,2.12085E-37
0.001679479,0.028227648,0.010661148,7.62747E-32,0.001978368,0.001962145,0.012602988,0.005428342,0.005426564,0.00867583,0.001974478,0.015095965,0.008120417,0.017464882,0.011123768,3.4571E-126
1.28088E-28,5.10827E-26,1.92881E-40,0.007598231,2.63512E-22,1.69717E-24,1.2585E-26,0.007619386,0.007847906,0.021147679,0.03520968,0.021435473,0.007738483,0.008013186,0.007912848,0.021382584
2.81656E-94,0.021156082,8.473E-42,0.021278752,4.89971E-36,0.00759621,9.77688E-69,2.23185E-60,1.43756E-48,8.56248E-60,4.69619E-42,1.59861E-46,2.20995E-83,8.8589E-107,1.02043E-80,6.6141E-113
