X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
1.450371125,0.641581695,0.332688559,0.256088993,0.424571408,0.609484577,0.672160661,0.496039683,0.298840752,0.19862933,0.243053233,0.190406279,0.112445173,0.086213398,0.057114721,0.042885245
0.698584367,2.688843713,0.998551663,0.288635416,0.239736011,0.447222169,0.521049473,0.497769648,0.374629981,0.168904611,0.136927958,0.133133452,0.109997024,0.073138992,0.036635124,0.043174081
0.228076111,1.239077567,4.441285635,0.723385269,0.46923405,0.373013819,0.410906395,0.422556092,0.434138886,0.258806909,0.172135318,0.10043829,0.062703492,0.057793296,0.043336531,0.059517276
0.129764893,0.417423408,1.968159736,6.150657565,1.46031262,0.642030461,0.388016643,0.399533211,0.364035938,0.303810298,0.138860804,0.064703387,0.042188818,0.034224776,0.021558208,0.022844304
0.180667846,0.235149606,0.355256059,2.38390097,3.780802125,1.404836979,0.794427274,0.453815399,0.314001705,0.343630479,0.211280377,0.131295436,0.046989943,0.032176016,0.037218235,0.046797481
0.293549723,0.155938165,0.142257337,0.579512927,1.58776365,1.904554353,1.033454875,0.595139467,0.35404617,0.300802124,0.257427754,0.129518573,0.045391723,0.030148245,0.019954569,0.01605497
0.282975537,0.205528559,0.316356617,0.262781528,0.68234516,0.942971824,1.128590752,0.692973133,0.387987066,0.278175077,0.285662223,0.193458013,0.078766744,0.051236425,0.027281973,0.040465635
0.220845306,0.266012863,0.203042363,0.156608325,0.365872436,0.603625675,0.720906082,0.755341858,0.46858882,0.282221842,0.194779469,0.144854369,0.110654536,0.069062543,0.043025339,0.027178533
0.134498417,0.178354701,0.283150431,0.18947452,0.333559333,0.376487227,0.495893279,0.460829605,0.444706982,0.254136559,0.176547395,0.077925696,0.065658421,0.041610099,0.033478656,0.022564116
0.038132286,0.064057342,0.084555945,0.167995784,0.226477735,0.264265582,0.309270833,0.297113902,0.253616608,0.243934888,0.192181411,0.082562949,0.052230092,0.030875388,0.029102201,0.035872428
0.061405337,0.117776827,0.135481402,0.209805878,0.375786816,0.448401137,0.313589159,0.261599827,0.263373974,0.27608956,0.219580979,0.163256595,0.08824768,0.043522156,0.030336955,0.032648413
0.078440913,0.071331252,0.077758528,0.096138026,0.236122985,0.374131024,0.369983464,0.264007482,0.229574326,0.151832599,0.225588296,0.197647634,0.113825973,0.057362809,0.033623188,0.029144846
0.046894544,0.052407501,0.045703251,0.075642699,0.1563609,0.226186721,0.222769321,0.229623909,0.176176248,0.133879412,0.122664301,0.142659954,0.110358789,0.072650163,0.053888139,0.03609904
0.040245988,0.054380061,0.035014841,0.038400219,0.109940553,0.161412174,0.194989003,0.150284999,0.127275791,0.09496966,0.106262627,0.10798598,0.091087677,0.07164396,0.040144782,0.038238175
0.015946938,0.034553468,0.050440838,0.098064491,0.08918253,0.122246664,0.120154084,0.143828773,0.149833756,0.10598044,0.08775101,0.08224266,0.120385913,0.097947971,0.095480681,0.055567109
0.039277499,0.040842408,0.061121681,0.035177285,0.075506172,0.094775801,0.171726176,0.118541866,0.100611796,0.117094112,0.086460184,0.078302244,0.065911614,0.079331872,0.073075556,0.079143611
